row_type,part,mode,repetition,MiB_s,wall_s,user_cpu_s,system_cpu_s,process_cpu_s,effective_cores,cpu_us_op,residency_before_ppm,residency_after_dontneed_ppm,residency_after_prewarm_ppm,residency_before_measurement_ppm,slow_start_mostly_nonresident,peak_process_tasks,peak_go_threads,peak_not_in_go,peak_runnable,voluntary_cs,involuntary_cs,average_submit_batch,max_submit_batch,average_cq_drain,max_cq_drain,submit_enter_calls,wait_enter_calls,enter_op,force_async,lock_submitter_thread,record_issuer_tids,worker_config
run,resident,normal,2,6362.439974599256,5.099615891,0.251983,5.21883,5.470813,1.0727892290192096,168.61286445170438,1000000,,1000000,1000000,False,12,12,2,43,13212,92,491.6060606060606,556,491.6060606060606,556,66,65,0.004037477655180916,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
run,resident,normal,3,6439.198635370824,5.125016616,0.265588,5.243498,5.509086,1.0749401246429051,166.93694130480895,1000000,,1000000,1000000,False,12,12,2,110,13625,119,492.55223880597015,553,492.55223880597015,553,67,66,0.0040301809036089814,False,False,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
run,resident,U1,1,6276.938890903351,5.152192902,0.577293,6.191398,6.7686910000000005,1.313749529326144,209.297804576376,1000000,,1000000,1000000,False,12,11,2,2,177067,19,1.0461618089476918,388,1.0098360655737706,4,30913,31991,1.945083487940631,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
run,resident,U1,2,6374.640889838457,5.154800179,0.638321,6.137112,6.7754330000000005,1.3143929472964349,206.19090079123558,1000000,,1000000,1000000,False,12,11,2,2,179442,19,1.057782069853533,891,1.0129157547547856,3,31065,32395,1.931223371880706,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
run,resident,U1,3,6144.232108656801,5.1536139,0.655047,6.096799,6.751846,1.3101187110660346,213.227411969051,1000000,,1000000,1000000,False,12,11,2,1,172951,11,1.0632261097307099,468,1.0081826286296485,3,29782,31384,1.931659561029528,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 1, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 1, ""unbounded_worker_limit_requested"": true}"
run,resident,U2,1,12385.191004721744,5.077273332,1.206501,11.814758,13.021258999999999,2.564616507433679,207.0712116152219,1000000,,1000000,1000000,False,13,11,2,2,296202,38,1.091282994637558,353,1.1281485468245425,5,57623,54068,1.7761716203107358,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 2, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 2, ""unbounded_worker_limit_requested"": true}"
run,resident,U2,2,12124.087832763136,5.079309953,1.16461,11.801424,12.966034,2.552715648380909,210.5490890195187,1000000,,1000000,1000000,False,13,11,2,3,293040,34,1.0882711576863944,274,1.1162832852973699,6,56587,53488,1.7874541262057095,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 2, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 2, ""unbounded_worker_limit_requested"": true}"
run,resident,U2,3,12089.978445980048,5.079992514,1.262137,11.757352,13.019489,2.562895312172108,211.98510184476612,1000000,,1000000,1000000,False,13,12,2,73,287820,35,1.1009393037679704,156,1.1283667095351828,4,55786,52482,1.7628343943859193,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 2, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 2, ""unbounded_worker_limit_requested"": true}"
run,resident,U4,1,22949.146740869586,5.042322545,2.307089,22.830921,25.13801,4.9854030113418695,217.23696604647546,1000000,,1000000,1000000,False,15,11,2,3,486127,6028,1.1972540661341722,224,1.1107730113172773,44,96652,96098,1.665701668726289,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 4, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 4, ""unbounded_worker_limit_requested"": true}"
run,resident,U4,2,21338.89153740552,5.0441233,2.083303,22.698549,24.781852,4.913014715560185,230.23757850533278,1000000,,1000000,1000000,False,16,11,2,3,465391,2434,1.1703508791005666,726,1.0987525775300626,5,91969,90722,1.6973038760266081,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 32, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 4, ""previous_bounded_worker_max"": 32, ""previous_unbounded_worker_max"": 56743, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 32, ""registration_returned_unbounded_worker_max"": 56743, ""requested_bounded_worker_max"": 32, ""requested_unbounded_worker_max"": 4, ""unbounded_worker_limit_requested"": true}"
